Handle;Title;Option1 Name;Option1 Value (Material);Option2 Name;Option2 Value (Farbe);Option3 Name;Option3 Value (Marke);SKU;Qty;Spalte1;Spalte2;Spalte3;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;regenbogen farbe light;Marke;Geetech;GEE-PLA-SI-RGL;0;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;gelb;Marke;Geetech;GEE-PLA-SI-GE;3;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;weiß;Marke;Geetech;GEE-PLA-SI-WE;4;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;schwarz;Marke;Geetech;GEE-PLA-SI-SW;3;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;grün;Marke;Geetech;GEE-PLA-SI-GRÜ;3;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;gold;Marke;Geetech;GEE-PLA-SI-GO;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;hellblau;Marke;Geetech;GEE-PLA-SI-HB;4;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;blau;Marke;Geetech;GEE-PLA-SI-BL;3;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;lila;Marke;Geetech;GEE-PLA-SI-LI;3;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;magenta;Marke;Geetech;GEE-PLA-SI-MA;3;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;silber;Marke;Geetech;GEE-PLA-SI-SI;5;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;kupfer ;Marke;Geetech;GEE-PLA-SI-KU;3;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;bronze;Marke;Geetech;GEE-PLA-SI-BO;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;dunkel grün;Marke;Geetech;GEE-PLA-SI-DGRÜ;3;;;;;;
;;;;;;;;;;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;gold + schwarz;Marke;Geetech;GEE-PLA-2GOSW;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;grün + rot;Marke;Geetech;GEE-PLA-2GRÜRO;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;blau + grün;Marke;Geetech;GEE-PLA-2BLGRÜ;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;gelb + grün;Marke;Geetech;GEE-PLA-2GEGRÜ;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;gold + rot;Marke;Geetech;GEE-PLA-2GORO;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;gold + lila;Marke;Geetech;GEE-PLA-2GOLI;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;schwarz + rot;Marke;Geetech;GEE-PLA-2SWRO;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;gold + kupfer;Marke;Geetech;GEE-PLA-2GOKU;3;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;gold + silber;Marke;Geetech;GEE-PLA-2GOSI;2;;;;;;
;;;;;;;;;;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;rot + gelb + blau;Marke;Geetech;GEE-PLA-3ROGEBL;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;blau + lila +  schwarz;Marke;Geetech;GEE-PLA-3BLLISW;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;rot + gold + lila;Marke;Geetech;GEE-PLA-3ROGOLI;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;orange + blau + grün;Marke;Geetech;GEE-PLA-3ORBLGRÜ;2;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;rot + gold + schwarz;Marke;Geetech;GEE-PLA-3ROGOSW;3;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;lila + gold + schwarz;Marke;Geetech;GEE-PLA-3LIGOSW;1;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;rot + blau + grün;Marke;Geetech;GEE-PLA-3ROBLGRÜ;2;;;;;;
